"cluster_number","position_number","Bachelor","Master","Doctor"
0,4915,3573,2602,1492
0,8192,0.0037047919823979952,0,0
0,1,0.0031866392575870864,0.0025429394588257935,0
0,8194,0.002812897616265144,0.002244693472914126,0
0,8195,0.018987058909789724,0,0
0,4,0.0027785939867984964,0,0
0,5,0.001848638595679324,0,0
0,8,0.0024901060865298,0,0
0,9,0.003175535984912567,0.0025340790425929507,0
0,10,0.0022392600188449797,0,0
0,8204,0.0017035118274203865,0.0013594031499517326,0.0020358537790214357
0,13,0,0.00204292327310162,0
0,14,0,0.00204292327310162,0
0,8207,0,0.001103612572419085,0
0,16,0,0.0016604581854433261,0
0,17,0.0031866392575870864,0,0
0,18,0.0037351591297946998,0.0029806585460007253,0
0,20,0.005091501830558139,0.0040630205878445635,0
0,8213,0.0071201470911711464,0,0
0,8214,0.003645515310679627,0,0
0,23,0,0.002353659175482773,0.0035248601028364662
0,24,0.002104800987690316,0.0016796320674923252,0
0,8217,0,0.003336149932220995,0.004996246659525083
0,26,0.003254924384535381,0.0025974310186577744,0
0,8219,0,0.0027341379143766046,0
0,28,0.002574516462344369,0,0
0,29,0.0022841574628318464,0.0018227586095844032,0
0,30,0.007291030621359254,0,0
0,32,0.0018082913247418784,0,0
0,33,0.0022956645533247022,0,0
0,8226,0,0.0025429394588257935,0.003808327873344294
0,36,0.00520787901525661,0,0
0,8229,0,0.0012474797345183137,0.0018682363152255025
0,38,0.0034918729029498343,0.0027865160353416738,0
0,39,0.002180332123612217,0,0
0,40,0.0025037879881041397,0,0
0,8233,0.003363021504316999,0.0026836925654028666,0
0,42,0.002664850373303821,0,0
0,43,0,0.00166425786092489,0.002492406800403817
0,44,0.001657052413945285,0,0
0,8237,0.002071315517431606,0,0
0,46,0.0018637603837830406,0.0014872815648756174,0.002227365586454945
0,8239,0.005696117672936918,0,0
0,8240,0.002313144232664738,0.0018458900640207533,0
0,8200,0.002770148412370537,0.0022105795903470424,0
0,50,0.00347854514377827,0.0027758804779548737,0
