"cluster_number","position_number","development","analysis","product","information","design","model","modeling","insight","communicate","report","understand","implement","data analysis","data mining","analytic","processing","presentation","recommendation","pattern","optimization","improvement","business problem","documentation","extract","develop ... model","large data set","transformation","prototype","interface","decision making","evaluation","forecasting","statistical method","statistical model","decision-making","simulation","data collection","ownership","quantitative analysis","drive ... decision","solve problem","identify opportunity","predict","mapping","identify ... trend","data infrastructure","design ... experiment","formulate","forecast","test ... model","develop ... system","data gathering","test hypothesis","complex data set","cross-functionally","provide leadership","validate ... model","build model","manage data","collect data","construct","analytical method","exploratory analysis","data wrangling","data aggregation","financial model","manipulate ... data set","manipulate ... dataset","key decision","engineering design","product launch","build solution","cross functionally","product decision","normalization","business recommendation","due diligence","ensure accuracy","drive ... model","data sourcing","problem statement","product leadership","discover pattern","mine data","explore opportunity","experiment analysis","monitor ... metric","quantitative information","support platform","evaluate ... metric","provide mentorship","go-to-market strategy","cost-benefit","product operation","build dashboard","evaluate ... experiment","requirement specification","ass ... improvement","ensure data integrity","prioritize lead","cost benefit","visual display","ongoing deliverable","non-routine analysis problem","define metric","track ... activity","ad-hoc exploratory","manage decision","create rule","architect system","tactical initiative","automate report","transform data set"
0,4915,3188,3030,2788,2673,2484,2277,1945,1708,1439,1343,1308,1287,1218,1120,1119,1079,911,785,780,754,729,620,531,485,482,461,461,457,455,408,363,320,318,295,272,239,233,208,192,189,175,170,165,149,146,141,120,118,114,104,99,92,86,72,66,59,57,54,54,53,53,50,50,44,40,39,33,32,31,31,30,29,27,26,25,23,22,22,21,19,19,18,16,14,13,13,11,11,10,10,10,9,9,9,9,8,7,7,7,7,6,5,5,5,4,4,3,3,2,2,1,1,1
0,8192,0.019690422803481607,0,0.005467450775275394,0.011277278044954429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117863453615611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.004234129379070345,0.002395935117161748,0.028216634071001678,0,0.005106359475589082,0,0,0,0.0070148352527328395,0.0072562112593441575,0,0,0.005187979073306522,0,0.023682440268877374,0,0.00861312707101261,0.00913357253432962,0,0,0.009392330406780098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02667134504909392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018492423385267985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8194,0.007475067916136534,0,0.004151212625672057,0.008562377774872806,0.009014930926039985,0,0,0.005663251098794707,0,0.012810348272669313,0,0,0,0,0,0,0,0.016124702128507848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02237870090716817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015435656476180375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8195,0,0,0,0,0,0,0,0,0,0.04323492542025893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0.003691954275652801,0.00104456927364064,0.004100588081456545,0.004228979266857911,0.0044524963720075535,0.004717715981407441,0,0,0,0,0,0,0.00452366467977337,0.006469449172811395,0,0.004978927093508293,0.007510226653382948,0,0.007983509376750445,0,0,0,0,0,0.009450954351146762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.0024563103497243785,0,0,0.0028136008104044513,0,0.0031387643851960257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005448694718740584,0,0,0,0.006287856038896831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0.0009361167261041801,0,0.0037899049167469797,0,0.004227898475141095,0,0,0,0,0,0,0.0040539945764089215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01076582909859942,0,0,0,0,0,0,0,0,0.01226866546802228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0.004219376315031772,0.002387586911178606,0.02811831827284488,0,0.005088567282294347,0,0,0,0.006990393318054328,0.007230928293283725,0,0,0.005169902491169565,0,0.023599923055396963,0,0.008583116175294796,0.009101748239784917,0,0,0.009359604516861002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026578413533243417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018427989854308865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0.005950668316531295,0.0008418150411649384,0,0.003408120883364606,0.003588252604468004,0.003801992240544572,0,0,0,0,0,0,0.0036456069163775555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831312821579036,0,0.008638305722485286,0,0,0,0,0.0096813106881754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
