"cluster_number","position_number","(2, 5]","(5, 10]","[0]","(0, 2]","(10, 15]","(15, 20]","(20, 30)"
0,4915,2060,1396,1181,721,266,54,46
0,8192,0,0,0,0.009258455951585991,0,0,0
0,1,0.004331973525982991,0,0,0,0,0,0
0,8194,0,0.003721124264126107,0,0,0,0,0
0,8195,0,0,0.04575447355300797,0,0,0,0
0,4,0,0,0.006695776617513362,0,0,0,0
0,5,0,0.0024455258855514378,0,0,0,0,0
0,8,0.0033850940667517365,0,0,0.00622289662319714,0,0,0
0,9,0.004316879541571901,0,0,0,0,0,0
0,10,0.003044089504744805,0,0,0.005596020059189566,0,0,0
0,8204,0.002315783978375954,0,0,0.00425715918521524,0,0,0
0,13,0.0034801809787391447,0,0,0.00639769709014088,0,0,0
0,14,0.0034801809787391447,0,0,0.00639769709014088,0,0,0
0,8207,0.0018800370689395077,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0
0,17,0,0.0042155393761428624,0,0,0,0,0
0,18,0.005077641100127605,0,0,0,0,0,0
0,20,0,0,0.012269356036560798,0,0,0,0
0,8213,0.009679253347118246,0,0,0,0,0,0
0,8214,0,0.004822577046307435,0,0,0,0,0
0,23,0,0.003901761364326404,0,0,0,0,0
0,24,0,0,0,0,0,0,0
0,8217,0,0.005530478264114031,0,0,0,0,0
0,26,0,0.004305872362774496,0,0,0,0,0
0,8219,0,0.004532497223973153,0,0,0,0,0
0,28,0.0034998430181670493,0.0034057747502171153,0,0,0,0,0
0,29,0,0,0.005504297570286673,0,0,0,0
0,30,0,0,0.01756971784435506,0,0,0,0
0,32,0.002458223072283999,0,0,0.0045190082620836375,0,0,0
0,33,0,0,0.005532027029079049,0,0,0,0
0,8226,0,0.0042155393761428624,0,0,0,0,0
0,36,0,0,0,0,0,0,0
0,8229,0,0,0.0037670921621687525,0,0,0,0
0,38,0,0.004619326672708271,0,0.008726360781954611,0,0,0
0,39,0,0,0.005254102226182733,0,0,0,0
0,40,0.003403693484700922,0,0,0,0,0,0
0,8233,0,0,0,0.008404354849041156,0,0,0
0,42,0,0,0,0,0,0,0
0,43,0,0,0,0.005211853922403097,0,0,0
0,44,0,0,0.003993117691898878,0,0,0,0
0,8237,0,0,0,0.005176318554750348,0,0,0
0,46,0.002533628687998232,0,0,0,0,0,0
0,8239,0,0,0,0,0,0,0
0,8240,0.0031445290061703946,0,0,0,0,0,0
0,8200,0,0.0036645722236378687,0,0,0,0,0
0,50,0.004728795528363112,0,0,0,0,0,0
0,8243,0,0,0.0074447956967606185,0,0,0,0
0,52,0,0,0.008646514687182609,0,0,0,0
0,8245,0.004062112880102084,0,0,0,0,0,0
0,54,0.00404883800140894,0,0,0.007443072431667168,0,0,0
0,8247,0,0,0,0,0,0,0
0,56,0,0.0032150513642049566,0,0.006073547104240409,0,0,0
0,57,0.0038239025568862204,0,0,0,0,0,0
0,58,0.003470432572636234,0,0,0,0,0,0
0,59,0,0.0034057747502171153,0,0,0,0,0
0,60,0,0,0,0,0.007706402977158893,0,0
0,8202,0,0,0,0.01044761543160621,0,0,0
0,62,0,0,0,0,0.00674974605585641,0,0
0,63,0,0,0,0,0,0,0
0,65,0,0,0.029678577439788956,0,0,0,0
0,66,0,0,0.007957299748349213,0,0,0,0
0,67,0,0,0.006778440526371551,0,0,0,0
0,68,0,0.0065524144650916235,0,0,0,0,0
0,8261,0,0.002274800493541243,0,0,0,0,0
0,70,0.004316879541571901,0,0,0,0,0,0
0,72,0,0.004005462663046042,0,0,0,0,0
0,73,0,0.003827442100243996,0,0,0,0,0
0,74,0,0.002877432605195367,0,0,0,0,0
0,75,0.0018715172634911413,0,0,0,0,0,0
0,8268,0.0038357412644926796,0,0,0,0,0,0
0,77,0,0.003620553338068645,0,0,0,0,0
0,78,0,0.003721124264126107,0,0,0,0,0
0,79,0,0.000985808881093098,0,0,0.0016005121473412584,0,0
0,80,0,0,0,0,0,0,0
0,83,0.002784144782991316,0,0,0,0,0,0
0,84,0,0.005219239227605449,0,0,0,0,0
0,85,0,0,0.04482070878662005,0,0,0,0
0,8278,0,0,0.005504297570286673,0,0,0,0
0,87,0.002978231799113307,0,0,0,0,0,0
0,88,0,0,0.00810411339684274,0,0,0,0
0,8283,0.0035197284898611804,0,0,0.006470398193437936,0,0,0
0,92,0,0.013700502972464305,0,0,0,0,0
0,93,0,0,0.0047230424312782425,0,0,0,0
